      ,Contrast,Brightness,Saturation,Hue,Repeated Colors
Images/cats\cat_1,0.34842316573665105,0.6136045490196078,0.2131789176470588,0.2705261019607843,"[(249, 250, 254), (250, 251, 255), (248, 249, 253), (249, 250, 252), (246, 250, 253)]"
Images/cats\cat_2,0.4158749637709697,0.47293264313725486,0.17061173333333332,0.16726970980392158,"[(228, 231, 240), (226, 229, 238), (225, 228, 237), (227, 230, 239), (229, 232, 241)]"
Images/cats\cat_3,0.5834031081385694,0.434860831372549,0.1669179137254902,0.3377415843137255,"[(29, 32, 41), (28, 31, 40), (30, 33, 42), (27, 30, 39), (24, 28, 37)]"
Images/cats\cat_4,0.32390778121701724,0.5811776470588236,0.39092972549019606,0.15690652549019607,"[(237, 235, 238), (236, 236, 238), (219, 202, 186), (220, 203, 187), (221, 204, 188)]"
Images/cats\cat_5,0.35728540548844884,0.6003919843137254,0.18547005490196078,0.06209490196078431,"[(240, 236, 225), (241, 237, 226), (245, 242, 235), (243, 239, 228), (242, 238, 227)]"
Images/cats\cat_6,0.15399840764053707,0.7047836078431372,0.11563259607843136,0.13600365490196079,"[(192, 194, 189), (193, 195, 190), (191, 199, 202), (192, 198, 198), (185, 192, 200)]"
Images/cats\cat_7,0.19983730511420122,0.7156646431372549,0.14906723137254901,0.12390475294117646,"[(211, 225, 226), (212, 226, 227), (210, 224, 225), (213, 219, 219), (212, 218, 218)]"
Images/cats\cat_8,0.2901934718978031,0.6332156235294117,0.17133033725490196,0.0573915294117647,"[(206, 192, 189), (208, 194, 191), (207, 193, 190), (209, 195, 192), (202, 188, 185)]"
Images/cats\cat_9,0.8569666077369441,0.1682673725490196,0.38710958431372544,0.24475112156862744,"[(2, 2, 2), (1, 1, 1), (5, 5, 5), (3, 3, 3), (4, 4, 4)]"
Images/cats\cat_10,0.2002300189186778,0.6637023215686274,0.38027835294117646,0.33549063529411766,"[(132, 200, 223), (130, 198, 221), (129, 197, 220), (131, 199, 222), (133, 201, 224)]"
Images/cats\cat_11,0.40859857327463817,0.4482460862745098,0.40347093333333334,0.14895018039215685,"[(41, 34, 41), (40, 35, 41), (38, 31, 39), (40, 33, 40), (41, 36, 42)]"
Images/cats\cat_12,0.6550113352287588,0.33260417254901964,0.34191119999999997,0.14464826666666664,"[(24, 28, 29), (25, 29, 30), (26, 30, 29), (26, 30, 31), (22, 34, 30)]"
Images/cats\cat_13,0.9245351783738938,0.19461676862745095,0.4613551058823529,0.10955548235294117,"[(11, 10, 5), (13, 13, 5), (12, 12, 4), (10, 9, 4), (12, 11, 6)]"
Images/cats\cat_14,1.2923849376584664,0.17562174117647059,0.49404257254901957,0.11413165490196078,"[(6, 7, 2), (4, 4, 2), (7, 8, 3), (8, 9, 4), (3, 3, 1)]"
Images/cats\cat_15,0.48094572471746333,0.43710776470588236,0.5495023058823529,0.3885267450980392,"[(8, 12, 15), (5, 9, 12), (7, 11, 14), (6, 10, 13), (213, 218, 222)]"
